airport_id,airport_code,airport_name,city,state
165,HRL,,Harlingen/San Benito, TX,TX
166,HSV,,Huntsville, AL,AL
167,HTS,,Ashland, WV,WV
168,HVN,,New Haven, CT,CT
169,HYA,,Hyannis, MA,MA
170,HYS,,Hays, KS,KS
171,IAD,,Washington, DC,VA
172,IAG,,Niagara Falls, NY,NY
173,IAH,,Houston, TX,TX
174,ICT,,Wichita, KS,KS
175,IDA,,Idaho Falls, ID,ID
176,IFP,,Bullhead City, AZ,AZ
177,ILG,,Wilmington, DE,DE
178,ILM,,Wilmington, NC,NC
179,IMT,,Iron Mountain/Kingsfd, MI,MI
180,IND,,Indianapolis, IN,IN
181,INL,,International Falls, MN,MN
182,IPL,,El Centro, CA,CA
183,ISN,,Williston, ND,ND
184,ISP,,Islip, NY,NY
185,ITH,,Ithaca/Cortland, NY,NY
186,ITO,,Hilo, HI,HI
187,IYK,,Inyokern, CA,CA
188,JAC,,Jackson, WY,WY
189,JAN,,Jackson/Vicksburg, MS,MS
190,JAX,,Jacksonville, FL,FL
191,JFK,,New York, NY,NY
192,JLN,,Joplin, MO,MO
193,JMS,,Jamestown, ND,ND
194,JNU,,Juneau, AK,AK
195,KOA,,Kona, HI,HI
196,KTN,,Ketchikan, AK,AK
197,LAN,,Lansing, MI,MI
198,LAR,,Laramie, WY,WY
199,LAS,,Las Vegas, NV,NV
200,LAW,,Lawton/Fort Sill, OK,OK
201,LAX,,Los Angeles, CA,CA
202,LBB,,Lubbock, TX,TX
203,LBE,,Latrobe, PA,PA
204,LBF,,North Platte, NE,NE
205,LBL,,Liberal, KS,KS
206,LCH,,Lake Charles, LA,LA
207,LCK,,Columbus, OH,OH
208,LEX,,Lexington, KY,KY
209,LFT,,Lafayette, LA,LA
210,LGA,,New York, NY,NY
211,LGB,,Long Beach, CA,CA
212,LIH,,Lihue, HI,HI
213,LIT,,Little Rock, AR,AR
214,LMT,,Klamath Falls, OR,OR
215,LNK,,Lincoln, NE,NE
216,LRD,,Laredo, TX,TX
217,LSE,,La Crosse, WI,WI
218,LWB,,Lewisburg, WV,WV
219,LWS,,Lewiston, ID,ID
220,LYH,,Lynchburg, VA,VA
221,MAF,,Midland/Odessa, TX,TX
222,MBS,,Saginaw/Bay City/Midland, MI,MI
223,MCI,,Kansas City, MO,MO
224,MCN,,Macon, GA,GA
225,MCO,,Orlando, FL,FL
226,MDT,,Harrisburg, PA,PA
227,MDW,,Chicago, IL,IL
228,MEI,,Meridian, MS,MS
229,MEM,,Memphis, TN,TN
230,MFE,,Mission/McAllen/Edinburg, TX,TX
231,MFR,,Medford, OR,OR
232,MGM,,Montgomery, AL,AL
233,MHK,,Manhattan/Ft. Riley, KS,KS
234,MHT,,Manchester, NH,NH
235,MIA,,Miami, FL,FL
236,MKE,,Milwaukee, WI,WI
237,MKG,,Muskegon, MI,MI
238,MLB,,Melbourne, FL,FL
239,MLI,,Moline, IL,IL
240,MLU,,Monroe, LA,LA
241,MMH,,Mammoth Lakes, CA,CA
242,MOB,,Mobile, AL,AL
243,MOD,,Modesto, CA,CA
244,MOT,,Minot, ND,ND
245,MQT,,Marquette, MI,MI
246,MRY,,Monterey, CA,CA
247,MSN,,Madison, WI,WI
248,MSO,,Missoula, MT,MT
249,MSP,,Minneapolis, MN,MN
250,MSY,,New Orleans, LA,LA
251,MTJ,,Montrose/Delta, CO,CO
252,MVY,,Martha's Vineyard, MA,MA
253,MWH,,Moses Lake, WA,WA
254,MYR,,Myrtle Beach, SC,SC
255,OAJ,,Jacksonville/Camp Lejeune, NC,NC
256,OAK,,Oakland, CA,CA
257,OGD,,Ogden, UT,UT
258,OGG,,Kahului, HI,HI
259,OGS,,Ogdensburg, NY,NY
260,OKC,,Oklahoma City, OK,OK
261,OMA,,Omaha, NE,NE
262,OME,,Nome, AK,AK
263,ONT,,Ontario, CA,CA
264,ORD,,Chicago, IL,IL
265,ORF,,Norfolk, VA,VA
266,ORH,,Worcester, MA,MA
267,OTH,,North Bend/Coos Bay, OR,OR
268,OTZ,,Kotzebue, AK,AK
269,OWB,,Owensboro, KY,KY
270,OXR,,Oxnard/Ventura, CA,CA
271,PAE,,Everett, WA,WA
272,PAH,,Paducah, KY,KY
273,PBG,,Plattsburgh, NY,NY
274,PBI,,West Palm Beach/Palm Beach, FL,FL
275,PDX,,Portland, OR,OR
276,PFN,,Panama City, FL,FL
277,PGD,,Punta Gorda, FL,FL
278,PGV,,Greenville, NC,NC
279,PHF,,Newport News/Williamsburg, VA,VA
280,PHL,,Philadelphia, PA,PA
281,PHX,,Phoenix, AZ,AZ
282,PIA,,Peoria, IL,IL
283,PIB,,Hattiesburg/Laurel, MS,MS
284,PIE,,St. Petersburg, FL,FL
285,PIH,,Pocatello, ID,ID
286,PIR,,Pierre, SD,SD
287,PIT,,Pittsburgh, PA,PA
288,PLN,,Pellston, MI,MI
289,PNS,,Pensacola, FL,FL
290,PPG,,Pago Pago, TT,TT
291,PRC,,Prescott, AZ,AZ
292,PSC,,Pasco/Kennewick/Richland, WA,WA
293,PSE,,Ponce, PR,PR
294,PSG,,Petersburg, AK,AK
295,PSM,,Portsmouth, NH,NH
296,PSP,,Palm Springs, CA,CA
297,PUB,,Pueblo, CO,CO
298,PVD,,Providence, RI,RI
299,PVU,,Provo, UT,UT
300,PWM,,Portland, ME,ME
301,RAP,,Rapid City, SD,SD
302,RDD,,Redding, CA,CA
303,RDM,,Bend/Redmond, OR,OR
304,RDU,,Raleigh/Durham, NC,NC
305,RFD,,Rockford, IL,IL
306,RHI,,Rhinelander, WI,WI
307,RIC,,Richmond, VA,VA
308,RKS,,Rock Springs, WY,WY
309,RNO,,Reno, NV,NV
310,ROA,,Roanoke, VA,VA
311,ROC,,Rochester, NY,NY
312,ROW,,Roswell, NM,NM
313,RST,,Rochester, MN,MN
314,RSW,,Fort Myers, FL,FL
315,SAF,,Santa Fe, NM,NM
316,SAN,,San Diego, CA,CA
317,SAT,,San Antonio, TX,TX
318,SAV,,Savannah, GA,GA
319,SBA,,Santa Barbara, CA,CA
320,SBN,,South Bend, IN,IN
321,SBP,,San Luis Obispo, CA,CA
322,SCC,,Deadhorse, AK,AK
323,SCE,,State College, PA,PA
324,SCK,,Stockton, CA,CA
325,SDF,,Louisville, KY,KY
