fecha_id,fecha,year,month,day,quarter,weekday,is_holiday
126,2009-05-06,2009,5,6,2,4,False
127,2009-05-07,2009,5,7,2,5,False
128,2009-05-08,2009,5,8,2,6,False
129,2009-05-09,2009,5,9,2,7,False
130,2009-05-10,2009,5,10,2,1,False
131,2009-05-11,2009,5,11,2,2,False
132,2009-05-12,2009,5,12,2,3,False
133,2009-05-13,2009,5,13,2,4,False
134,2009-05-14,2009,5,14,2,5,False
135,2009-05-15,2009,5,15,2,6,False
136,2009-05-16,2009,5,16,2,7,False
137,2009-05-17,2009,5,17,2,1,False
138,2009-05-18,2009,5,18,2,2,False
139,2009-05-19,2009,5,19,2,3,False
140,2009-05-20,2009,5,20,2,4,False
141,2009-05-21,2009,5,21,2,5,False
142,2009-05-22,2009,5,22,2,6,False
143,2009-05-23,2009,5,23,2,7,False
144,2009-05-24,2009,5,24,2,1,False
145,2009-05-25,2009,5,25,2,2,False
146,2009-05-26,2009,5,26,2,3,False
147,2009-05-27,2009,5,27,2,4,False
148,2009-05-28,2009,5,28,2,5,False
149,2009-05-29,2009,5,29,2,6,False
150,2009-05-30,2009,5,30,2,7,False
151,2009-05-31,2009,5,31,2,1,False
152,2009-06-01,2009,6,1,2,2,False
153,2009-06-02,2009,6,2,2,3,False
154,2009-06-03,2009,6,3,2,4,False
155,2009-06-04,2009,6,4,2,5,False
156,2009-06-05,2009,6,5,2,6,False
157,2009-06-06,2009,6,6,2,7,False
158,2009-06-07,2009,6,7,2,1,False
159,2009-06-08,2009,6,8,2,2,False
160,2009-06-09,2009,6,9,2,3,False
161,2009-06-10,2009,6,10,2,4,False
162,2009-06-11,2009,6,11,2,5,False
163,2009-06-12,2009,6,12,2,6,False
164,2009-06-13,2009,6,13,2,7,False
165,2009-06-14,2009,6,14,2,1,False
166,2009-06-15,2009,6,15,2,2,False
167,2009-06-16,2009,6,16,2,3,False
168,2009-06-17,2009,6,17,2,4,False
169,2009-06-18,2009,6,18,2,5,False
170,2009-06-19,2009,6,19,2,6,False
171,2009-06-20,2009,6,20,2,7,False
172,2009-06-21,2009,6,21,2,1,False
173,2009-06-22,2009,6,22,2,2,False
174,2009-06-23,2009,6,23,2,3,False
175,2009-06-24,2009,6,24,2,4,False
176,2009-06-25,2009,6,25,2,5,False
177,2009-06-26,2009,6,26,2,6,False
178,2009-06-27,2009,6,27,2,7,False
179,2009-06-28,2009,6,28,2,1,False
180,2009-06-29,2009,6,29,2,2,False
181,2009-06-30,2009,6,30,2,3,False
182,2009-07-01,2009,7,1,3,4,False
183,2009-07-02,2009,7,2,3,5,False
184,2009-07-03,2009,7,3,3,6,False
185,2009-07-04,2009,7,4,3,7,False
186,2009-07-05,2009,7,5,3,1,False
187,2009-07-06,2009,7,6,3,2,False
188,2009-07-07,2009,7,7,3,3,False
189,2009-07-08,2009,7,8,3,4,False
190,2009-07-09,2009,7,9,3,5,False
191,2009-07-10,2009,7,10,3,6,False
192,2009-07-11,2009,7,11,3,7,False
193,2009-07-12,2009,7,12,3,1,False
194,2009-07-13,2009,7,13,3,2,False
195,2009-07-14,2009,7,14,3,3,False
196,2009-07-15,2009,7,15,3,4,False
197,2009-07-16,2009,7,16,3,5,False
198,2009-07-17,2009,7,17,3,6,False
199,2009-07-18,2009,7,18,3,7,False
200,2009-07-19,2009,7,19,3,1,False
201,2009-07-20,2009,7,20,3,2,False
202,2009-07-21,2009,7,21,3,3,False
203,2009-07-22,2009,7,22,3,4,False
204,2009-07-23,2009,7,23,3,5,False
205,2009-07-24,2009,7,24,3,6,False
206,2009-07-25,2009,7,25,3,7,False
207,2009-07-26,2009,7,26,3,1,False
208,2009-07-27,2009,7,27,3,2,False
209,2009-07-28,2009,7,28,3,3,False
210,2009-07-29,2009,7,29,3,4,False
211,2009-07-30,2009,7,30,3,5,False
212,2009-07-31,2009,7,31,3,6,False
213,2009-08-01,2009,8,1,3,7,False
214,2009-08-02,2009,8,2,3,1,False
215,2009-08-03,2009,8,3,3,2,False
216,2009-08-04,2009,8,4,3,3,False
217,2009-08-05,2009,8,5,3,4,False
218,2009-08-06,2009,8,6,3,5,False
219,2009-08-07,2009,8,7,3,6,False
220,2009-08-08,2009,8,8,3,7,False
221,2009-08-09,2009,8,9,3,1,False
222,2009-08-10,2009,8,10,3,2,False
223,2009-08-11,2009,8,11,3,3,False
224,2009-08-12,2009,8,12,3,4,False
225,2009-08-13,2009,8,13,3,5,False
226,2009-08-14,2009,8,14,3,6,False
227,2009-08-15,2009,8,15,3,7,False
228,2009-08-16,2009,8,16,3,1,False
229,2009-08-17,2009,8,17,3,2,False
230,2009-08-18,2009,8,18,3,3,False
231,2009-08-19,2009,8,19,3,4,False
232,2009-08-20,2009,8,20,3,5,False
233,2009-08-21,2009,8,21,3,6,False
234,2009-08-22,2009,8,22,3,7,False
235,2009-08-23,2009,8,23,3,1,False
236,2009-08-24,2009,8,24,3,2,False
237,2009-08-25,2009,8,25,3,3,False
238,2009-08-26,2009,8,26,3,4,False
239,2009-08-27,2009,8,27,3,5,False
240,2009-08-28,2009,8,28,3,6,False
241,2009-08-29,2009,8,29,3,7,False
242,2009-08-30,2009,8,30,3,1,False
243,2009-08-31,2009,8,31,3,2,False
244,2009-09-01,2009,9,1,3,3,False
245,2009-09-02,2009,9,2,3,4,False
246,2009-09-03,2009,9,3,3,5,False
247,2009-09-04,2009,9,4,3,6,False
248,2009-09-05,2009,9,5,3,7,False
249,2009-09-06,2009,9,6,3,1,False
250,2009-09-07,2009,9,7,3,2,False
251,2009-09-08,2009,9,8,3,3,False
252,2009-09-09,2009,9,9,3,4,False
253,2009-09-10,2009,9,10,3,5,False
254,2009-09-11,2009,9,11,3,6,False
255,2009-09-12,2009,9,12,3,7,False
256,2009-09-13,2009,9,13,3,1,False
257,2009-09-14,2009,9,14,3,2,False
258,2009-09-15,2009,9,15,3,3,False
259,2009-09-16,2009,9,16,3,4,False
260,2009-09-17,2009,9,17,3,5,False
261,2009-09-18,2009,9,18,3,6,False
262,2009-09-19,2009,9,19,3,7,False
263,2009-09-20,2009,9,20,3,1,False
264,2009-09-21,2009,9,21,3,2,False
265,2009-09-22,2009,9,22,3,3,False
266,2009-09-23,2009,9,23,3,4,False
267,2009-09-24,2009,9,24,3,5,False
268,2009-09-25,2009,9,25,3,6,False
269,2009-09-26,2009,9,26,3,7,False
270,2009-09-27,2009,9,27,3,1,False
271,2009-09-28,2009,9,28,3,2,False
272,2009-09-29,2009,9,29,3,3,False
273,2009-09-30,2009,9,30,3,4,False
274,2009-10-01,2009,10,1,4,5,False
275,2009-10-02,2009,10,2,4,6,False
276,2009-10-03,2009,10,3,4,7,False
277,2009-10-04,2009,10,4,4,1,False
278,2009-10-05,2009,10,5,4,2,False
279,2009-10-06,2009,10,6,4,3,False
280,2009-10-07,2009,10,7,4,4,False
281,2009-10-08,2009,10,8,4,5,False
282,2009-10-09,2009,10,9,4,6,False
283,2009-10-10,2009,10,10,4,7,False
284,2009-10-11,2009,10,11,4,1,False
285,2009-10-12,2009,10,12,4,2,False
286,2009-10-13,2009,10,13,4,3,False
287,2009-10-14,2009,10,14,4,4,False
288,2009-10-15,2009,10,15,4,5,False
289,2009-10-16,2009,10,16,4,6,False
290,2009-10-17,2009,10,17,4,7,False
291,2009-10-18,2009,10,18,4,1,False
292,2009-10-19,2009,10,19,4,2,False
293,2009-10-20,2009,10,20,4,3,False
294,2009-10-21,2009,10,21,4,4,False
295,2009-10-22,2009,10,22,4,5,False
296,2009-10-23,2009,10,23,4,6,False
297,2009-10-24,2009,10,24,4,7,False
298,2009-10-25,2009,10,25,4,1,False
299,2009-10-26,2009,10,26,4,2,False
300,2009-10-27,2009,10,27,4,3,False
301,2009-10-28,2009,10,28,4,4,False
302,2009-10-29,2009,10,29,4,5,False
303,2009-10-30,2009,10,30,4,6,False
304,2009-10-31,2009,10,31,4,7,False
305,2009-11-01,2009,11,1,4,1,False
306,2009-11-02,2009,11,2,4,2,False
307,2009-11-03,2009,11,3,4,3,False
308,2009-11-04,2009,11,4,4,4,False
309,2009-11-05,2009,11,5,4,5,False
310,2009-11-06,2009,11,6,4,6,False
311,2009-11-07,2009,11,7,4,7,False
312,2009-11-08,2009,11,8,4,1,False
313,2009-11-09,2009,11,9,4,2,False
314,2009-11-10,2009,11,10,4,3,False
315,2009-11-11,2009,11,11,4,4,False
316,2009-11-12,2009,11,12,4,5,False
317,2009-11-13,2009,11,13,4,6,False
318,2009-11-14,2009,11,14,4,7,False
319,2009-11-15,2009,11,15,4,1,False
320,2009-11-16,2009,11,16,4,2,False
321,2009-11-17,2009,11,17,4,3,False
322,2009-11-18,2009,11,18,4,4,False
323,2009-11-19,2009,11,19,4,5,False
324,2009-11-20,2009,11,20,4,6,False
325,2009-11-21,2009,11,21,4,7,False
326,2009-11-22,2009,11,22,4,1,False
327,2009-11-23,2009,11,23,4,2,False
328,2009-11-24,2009,11,24,4,3,False
329,2009-11-25,2009,11,25,4,4,False
330,2009-11-26,2009,11,26,4,5,False
331,2009-11-27,2009,11,27,4,6,False
332,2009-11-28,2009,11,28,4,7,False
333,2009-11-29,2009,11,29,4,1,False
334,2009-11-30,2009,11,30,4,2,False
335,2009-12-01,2009,12,1,4,3,False
336,2009-12-02,2009,12,2,4,4,False
337,2009-12-03,2009,12,3,4,5,False
338,2009-12-04,2009,12,4,4,6,False
339,2009-12-05,2009,12,5,4,7,False
340,2009-12-06,2009,12,6,4,1,False
341,2009-12-07,2009,12,7,4,2,False
342,2009-12-08,2009,12,8,4,3,False
343,2009-12-09,2009,12,9,4,4,False
344,2009-12-10,2009,12,10,4,5,False
345,2009-12-11,2009,12,11,4,6,False
346,2009-12-12,2009,12,12,4,7,False
347,2009-12-13,2009,12,13,4,1,False
348,2009-12-14,2009,12,14,4,2,False
349,2009-12-15,2009,12,15,4,3,False
350,2009-12-16,2009,12,16,4,4,False
351,2009-12-17,2009,12,17,4,5,False
352,2009-12-18,2009,12,18,4,6,False
353,2009-12-19,2009,12,19,4,7,False
354,2009-12-20,2009,12,20,4,1,False
355,2009-12-21,2009,12,21,4,2,False
356,2009-12-22,2009,12,22,4,3,False
357,2009-12-23,2009,12,23,4,4,False
358,2009-12-24,2009,12,24,4,5,False
359,2009-12-25,2009,12,25,4,6,False
360,2009-12-26,2009,12,26,4,7,False
361,2009-12-27,2009,12,27,4,1,False
362,2009-12-28,2009,12,28,4,2,False
363,2009-12-29,2009,12,29,4,3,False
364,2009-12-30,2009,12,30,4,4,False
365,2009-12-31,2009,12,31,4,5,False
366,2010-01-01,2010,1,1,1,6,False
367,2010-01-02,2010,1,2,1,7,False
368,2010-01-03,2010,1,3,1,1,False
369,2010-01-04,2010,1,4,1,2,False
370,2010-01-05,2010,1,5,1,3,False
371,2010-01-06,2010,1,6,1,4,False
372,2010-01-07,2010,1,7,1,5,False
373,2010-01-08,2010,1,8,1,6,False
374,2010-01-09,2010,1,9,1,7,False
375,2010-01-10,2010,1,10,1,1,False
376,2010-01-11,2010,1,11,1,2,False
377,2010-01-12,2010,1,12,1,3,False
378,2010-01-13,2010,1,13,1,4,False
379,2010-01-14,2010,1,14,1,5,False
380,2010-01-15,2010,1,15,1,6,False
381,2010-01-16,2010,1,16,1,7,False
382,2010-01-17,2010,1,17,1,1,False
383,2010-01-18,2010,1,18,1,2,False
384,2010-01-19,2010,1,19,1,3,False
385,2010-01-20,2010,1,20,1,4,False
386,2010-01-21,2010,1,21,1,5,False
387,2010-01-22,2010,1,22,1,6,False
388,2010-01-23,2010,1,23,1,7,False
389,2010-01-24,2010,1,24,1,1,False
390,2010-01-25,2010,1,25,1,2,False
391,2010-01-26,2010,1,26,1,3,False
392,2010-01-27,2010,1,27,1,4,False
393,2010-01-28,2010,1,28,1,5,False
394,2010-01-29,2010,1,29,1,6,False
395,2010-01-30,2010,1,30,1,7,False
396,2010-01-31,2010,1,31,1,1,False
397,2010-02-01,2010,2,1,1,2,False
398,2010-02-02,2010,2,2,1,3,False
399,2010-02-03,2010,2,3,1,4,False
400,2010-02-04,2010,2,4,1,5,False
401,2010-02-05,2010,2,5,1,6,False
402,2010-02-06,2010,2,6,1,7,False
403,2010-02-07,2010,2,7,1,1,False
404,2010-02-08,2010,2,8,1,2,False
405,2010-02-09,2010,2,9,1,3,False
406,2010-02-10,2010,2,10,1,4,False
407,2010-02-11,2010,2,11,1,5,False
408,2010-02-12,2010,2,12,1,6,False
409,2010-02-13,2010,2,13,1,7,False
410,2010-02-14,2010,2,14,1,1,False
411,2010-02-15,2010,2,15,1,2,False
412,2010-02-16,2010,2,16,1,3,False
413,2010-02-17,2010,2,17,1,4,False
414,2010-02-18,2010,2,18,1,5,False
415,2010-02-19,2010,2,19,1,6,False
416,2010-02-20,2010,2,20,1,7,False
417,2010-02-21,2010,2,21,1,1,False
418,2010-02-22,2010,2,22,1,2,False
419,2010-02-23,2010,2,23,1,3,False
420,2010-02-24,2010,2,24,1,4,False
421,2010-02-25,2010,2,25,1,5,False
422,2010-02-26,2010,2,26,1,6,False
423,2010-02-27,2010,2,27,1,7,False
424,2010-02-28,2010,2,28,1,1,False
425,2010-03-01,2010,3,1,1,2,False
426,2010-03-02,2010,3,2,1,3,False
427,2010-03-03,2010,3,3,1,4,False
428,2010-03-04,2010,3,4,1,5,False
429,2010-03-05,2010,3,5,1,6,False
430,2010-03-06,2010,3,6,1,7,False
431,2010-03-07,2010,3,7,1,1,False
432,2010-03-08,2010,3,8,1,2,False
433,2010-03-09,2010,3,9,1,3,False
434,2010-03-10,2010,3,10,1,4,False
435,2010-03-11,2010,3,11,1,5,False
436,2010-03-12,2010,3,12,1,6,False
437,2010-03-13,2010,3,13,1,7,False
438,2010-03-14,2010,3,14,1,1,False
439,2010-03-15,2010,3,15,1,2,False
440,2010-03-16,2010,3,16,1,3,False
441,2010-03-17,2010,3,17,1,4,False
442,2010-03-18,2010,3,18,1,5,False
443,2010-03-19,2010,3,19,1,6,False
444,2010-03-20,2010,3,20,1,7,False
445,2010-03-21,2010,3,21,1,1,False
446,2010-03-22,2010,3,22,1,2,False
447,2010-03-23,2010,3,23,1,3,False
448,2010-03-24,2010,3,24,1,4,False
449,2010-03-25,2010,3,25,1,5,False
450,2010-03-26,2010,3,26,1,6,False
451,2010-03-27,2010,3,27,1,7,False
452,2010-03-28,2010,3,28,1,1,False
453,2010-03-29,2010,3,29,1,2,False
454,2010-03-30,2010,3,30,1,3,False
455,2010-03-31,2010,3,31,1,4,False
456,2010-04-01,2010,4,1,2,5,False
457,2010-04-02,2010,4,2,2,6,False
458,2010-04-03,2010,4,3,2,7,False
459,2010-04-04,2010,4,4,2,1,False
460,2010-04-05,2010,4,5,2,2,False
461,2010-04-06,2010,4,6,2,3,False
462,2010-04-07,2010,4,7,2,4,False
463,2010-04-08,2010,4,8,2,5,False
464,2010-04-09,2010,4,9,2,6,False
465,2010-04-10,2010,4,10,2,7,False
466,2010-04-11,2010,4,11,2,1,False
467,2010-04-12,2010,4,12,2,2,False
468,2010-04-13,2010,4,13,2,3,False
469,2010-04-14,2010,4,14,2,4,False
470,2010-04-15,2010,4,15,2,5,False
471,2010-04-16,2010,4,16,2,6,False
472,2010-04-17,2010,4,17,2,7,False
473,2010-04-18,2010,4,18,2,1,False
474,2010-04-19,2010,4,19,2,2,False
475,2010-04-20,2010,4,20,2,3,False
476,2010-04-21,2010,4,21,2,4,False
477,2010-04-22,2010,4,22,2,5,False
478,2010-04-23,2010,4,23,2,6,False
479,2010-04-24,2010,4,24,2,7,False
480,2010-04-25,2010,4,25,2,1,False
481,2010-04-26,2010,4,26,2,2,False
482,2010-04-27,2010,4,27,2,3,False
483,2010-04-28,2010,4,28,2,4,False
484,2010-04-29,2010,4,29,2,5,False
485,2010-04-30,2010,4,30,2,6,False
486,2010-05-01,2010,5,1,2,7,False
487,2010-05-02,2010,5,2,2,1,False
488,2010-05-03,2010,5,3,2,2,False
489,2010-05-04,2010,5,4,2,3,False
490,2010-05-05,2010,5,5,2,4,False
491,2010-05-06,2010,5,6,2,5,False
492,2010-05-07,2010,5,7,2,6,False
493,2010-05-08,2010,5,8,2,7,False
494,2010-05-09,2010,5,9,2,1,False
495,2010-05-10,2010,5,10,2,2,False
496,2010-05-11,2010,5,11,2,3,False
497,2010-05-12,2010,5,12,2,4,False
498,2010-05-13,2010,5,13,2,5,False
499,2010-05-14,2010,5,14,2,6,False
500,2010-05-15,2010,5,15,2,7,False
501,2010-05-16,2010,5,16,2,1,False
502,2010-05-17,2010,5,17,2,2,False
503,2010-05-18,2010,5,18,2,3,False
504,2010-05-19,2010,5,19,2,4,False
505,2010-05-20,2010,5,20,2,5,False
506,2010-05-21,2010,5,21,2,6,False
507,2010-05-22,2010,5,22,2,7,False
508,2010-05-23,2010,5,23,2,1,False
509,2010-05-24,2010,5,24,2,2,False
510,2010-05-25,2010,5,25,2,3,False
511,2010-05-26,2010,5,26,2,4,False
512,2010-05-27,2010,5,27,2,5,False
513,2010-05-28,2010,5,28,2,6,False
514,2010-05-29,2010,5,29,2,7,False
515,2010-05-30,2010,5,30,2,1,False
516,2010-05-31,2010,5,31,2,2,False
517,2010-06-01,2010,6,1,2,3,False
518,2010-06-02,2010,6,2,2,4,False
519,2010-06-03,2010,6,3,2,5,False
520,2010-06-04,2010,6,4,2,6,False
521,2010-06-05,2010,6,5,2,7,False
522,2010-06-06,2010,6,6,2,1,False
523,2010-06-07,2010,6,7,2,2,False
524,2010-06-08,2010,6,8,2,3,False
525,2010-06-09,2010,6,9,2,4,False
526,2010-06-10,2010,6,10,2,5,False
527,2010-06-11,2010,6,11,2,6,False
528,2010-06-12,2010,6,12,2,7,False
529,2010-06-13,2010,6,13,2,1,False
530,2010-06-14,2010,6,14,2,2,False
531,2010-06-15,2010,6,15,2,3,False
532,2010-06-16,2010,6,16,2,4,False
533,2010-06-17,2010,6,17,2,5,False
534,2010-06-18,2010,6,18,2,6,False
535,2010-06-19,2010,6,19,2,7,False
536,2010-06-20,2010,6,20,2,1,False
537,2010-06-21,2010,6,21,2,2,False
538,2010-06-22,2010,6,22,2,3,False
539,2010-06-23,2010,6,23,2,4,False
540,2010-06-24,2010,6,24,2,5,False
541,2010-06-25,2010,6,25,2,6,False
542,2010-06-26,2010,6,26,2,7,False
543,2010-06-27,2010,6,27,2,1,False
544,2010-06-28,2010,6,28,2,2,False
545,2010-06-29,2010,6,29,2,3,False
546,2010-06-30,2010,6,30,2,4,False
547,2010-07-01,2010,7,1,3,5,False
548,2010-07-02,2010,7,2,3,6,False
549,2010-07-03,2010,7,3,3,7,False
550,2010-07-04,2010,7,4,3,1,False
551,2010-07-05,2010,7,5,3,2,False
552,2010-07-06,2010,7,6,3,3,False
553,2010-07-07,2010,7,7,3,4,False
554,2010-07-08,2010,7,8,3,5,False
555,2010-07-09,2010,7,9,3,6,False
556,2010-07-10,2010,7,10,3,7,False
557,2010-07-11,2010,7,11,3,1,False
558,2010-07-12,2010,7,12,3,2,False
559,2010-07-13,2010,7,13,3,3,False
560,2010-07-14,2010,7,14,3,4,False
561,2010-07-15,2010,7,15,3,5,False
562,2010-07-16,2010,7,16,3,6,False
563,2010-07-17,2010,7,17,3,7,False
564,2010-07-18,2010,7,18,3,1,False
565,2010-07-19,2010,7,19,3,2,False
566,2010-07-20,2010,7,20,3,3,False
567,2010-07-21,2010,7,21,3,4,False
568,2010-07-22,2010,7,22,3,5,False
569,2010-07-23,2010,7,23,3,6,False
570,2010-07-24,2010,7,24,3,7,False
571,2010-07-25,2010,7,25,3,1,False
572,2010-07-26,2010,7,26,3,2,False
573,2010-07-27,2010,7,27,3,3,False
574,2010-07-28,2010,7,28,3,4,False
575,2010-07-29,2010,7,29,3,5,False
576,2010-07-30,2010,7,30,3,6,False
577,2010-07-31,2010,7,31,3,7,False
578,2010-08-01,2010,8,1,3,1,False
579,2010-08-02,2010,8,2,3,2,False
580,2010-08-03,2010,8,3,3,3,False
581,2010-08-04,2010,8,4,3,4,False
582,2010-08-05,2010,8,5,3,5,False
583,2010-08-06,2010,8,6,3,6,False
584,2010-08-07,2010,8,7,3,7,False
585,2010-08-08,2010,8,8,3,1,False
586,2010-08-09,2010,8,9,3,2,False
587,2010-08-10,2010,8,10,3,3,False
588,2010-08-11,2010,8,11,3,4,False
589,2010-08-12,2010,8,12,3,5,False
590,2010-08-13,2010,8,13,3,6,False
591,2010-08-14,2010,8,14,3,7,False
592,2010-08-15,2010,8,15,3,1,False
593,2010-08-16,2010,8,16,3,2,False
594,2010-08-17,2010,8,17,3,3,False
595,2010-08-18,2010,8,18,3,4,False
596,2010-08-19,2010,8,19,3,5,False
597,2010-08-20,2010,8,20,3,6,False
598,2010-08-21,2010,8,21,3,7,False
599,2010-08-22,2010,8,22,3,1,False
600,2010-08-23,2010,8,23,3,2,False
601,2010-08-24,2010,8,24,3,3,False
602,2010-08-25,2010,8,25,3,4,False
603,2010-08-26,2010,8,26,3,5,False
604,2010-08-27,2010,8,27,3,6,False
605,2010-08-28,2010,8,28,3,7,False
606,2010-08-29,2010,8,29,3,1,False
607,2010-08-30,2010,8,30,3,2,False
608,2010-08-31,2010,8,31,3,3,False
609,2010-09-01,2010,9,1,3,4,False
610,2010-09-02,2010,9,2,3,5,False
611,2010-09-03,2010,9,3,3,6,False
612,2010-09-04,2010,9,4,3,7,False
613,2010-09-05,2010,9,5,3,1,False
614,2010-09-06,2010,9,6,3,2,False
615,2010-09-07,2010,9,7,3,3,False
616,2010-09-08,2010,9,8,3,4,False
617,2010-09-09,2010,9,9,3,5,False
618,2010-09-10,2010,9,10,3,6,False
619,2010-09-11,2010,9,11,3,7,False
620,2010-09-12,2010,9,12,3,1,False
621,2010-09-13,2010,9,13,3,2,False
622,2010-09-14,2010,9,14,3,3,False
623,2010-09-15,2010,9,15,3,4,False
624,2010-09-16,2010,9,16,3,5,False
625,2010-09-17,2010,9,17,3,6,False
626,2010-09-18,2010,9,18,3,7,False
627,2010-09-19,2010,9,19,3,1,False
628,2010-09-20,2010,9,20,3,2,False
629,2010-09-21,2010,9,21,3,3,False
630,2010-09-22,2010,9,22,3,4,False
631,2010-09-23,2010,9,23,3,5,False
632,2010-09-24,2010,9,24,3,6,False
633,2010-09-25,2010,9,25,3,7,False
